id,title,shortDescription,fullDescription,category,tags,simulationPage,previewType,previewPath,fallbackImage,difficulty,estimatedTime,features,status
sim001,Particle Swarm Optimization,Watch particles collaborate to find optimal solutions using swarm intelligence algorithms.,"This simulation demonstrates Particle Swarm Optimization (PSO), a computational method inspired by bird flocking and fish schooling. Particles move through the solution space, sharing information about good positions they've found. Over time, the swarm converges on optimal solutions. Adjust parameters like swarm size, inertia weight, and cognitive/social factors to see how they affect convergence speed and solution quality.",swarm,"optimization|swarm-intelligence|algorithm|ai|emergent-behavior",sims/particle-swarm.html,video,assets/videos/previews/particle-swarm-preview.mp4,assets/images/previews/particle-swarm-preview.png,intermediate,5-10 minutes,"Real-time parameter adjustment|Multiple optimization functions|Performance metrics visualization|Export results as CSV",active
sim002,Boids Flocking Simulation,Experience realistic flocking behavior with autonomous agents following simple rules.,"Based on Craig Reynolds' Boids algorithm, this simulation creates lifelike flocking behavior using three simple rules: separation (avoid crowding), alignment (steer towards average heading), and cohesion (move toward average position). Despite the simplicity of individual rules, complex emergent patterns arise. Experiment with different rule weights, add obstacles, or introduce predators to see how the flock adapts.",swarm,"boids|flocking|emergent-behavior|agent-based|artificial-life",sims/boids-flocking.html,video,assets/videos/previews/boids-preview.mp4,assets/images/previews/boids-preview.png,beginner,3-5 minutes,"Adjustable flock size|Interactive obstacles|Predator-prey dynamics|3D visualization mode",active
sim003,Double Pendulum Chaos,Witness chaotic motion in a simple mechanical system with extreme sensitivity to initial conditions.,"The double pendulum is one of the simplest systems that exhibits chaotic behavior. Two pendulums connected end-to-end create unpredictable, non-repeating motion patterns. Even tiny differences in starting positions lead to dramatically different trajectories. This simulation visualizes the pendulum's motion and traces its path, revealing beautiful patterns. Compare multiple pendulums with slightly different initial conditions to see chaos theory in action.",physics,"chaos-theory|classical-mechanics|nonlinear-dynamics|physics|deterministic-chaos",sims/double-pendulum.html,video,assets/videos/previews/double-pendulum-preview.mp4,assets/images/previews/double-pendulum-preview.png,intermediate,5-8 minutes,"Multiple pendulum comparison|Path tracing visualization|Energy conservation display|Slow motion mode",active
sim004,Molecular Dynamics - Lennard-Jones,Simulate atomic interactions and observe phase transitions in a molecular system.,"This molecular dynamics simulation models particles interacting via the Lennard-Jones potential, which approximates the forces between neutral atoms or molecules. Watch as particles exhibit solid, liquid, or gas behavior depending on temperature and density. Observe phenomena like melting, evaporation, and crystallization. The simulation uses the Verlet integration method for accurate trajectory calculations and includes temperature control (thermostat) and pressure monitoring.",chemistry,"molecular-dynamics|thermodynamics|phase-transitions|statistical-mechanics|chemistry",sims/molecular-dynamics.html,video,assets/videos/previews/molecular-dynamics-preview.mp4,assets/images/previews/molecular-dynamics-preview.png,advanced,10-15 minutes,"Temperature control|Pressure monitoring|Radial distribution function|Energy tracking (kinetic + potential)",active
sim005,Fourier Series Visualization,Build complex waveforms by combining simple sine and cosine waves.,"Explore how any periodic function can be represented as a sum of sine and cosine waves. This interactive visualization lets you add or remove harmonics and see how they combine to approximate square waves, sawtooth waves, and other complex patterns. Watch the Fourier series converge as you add more terms. Includes both time-domain and frequency-domain representations, helping build intuition for signal processing and harmonic analysis.",mathematics,"fourier-analysis|signal-processing|mathematics|waves|harmonics",sims/fourier-series.html,image,assets/images/previews/fourier-series-preview.png,,intermediate,5-10 minutes,"Interactive harmonic selection|Time and frequency domain views|Custom waveform drawing|Coefficient visualization",active
sim006,Ant Colony Optimization,Watch virtual ants find optimal paths using pheromone trails and collective intelligence.,"Inspired by real ant foraging behavior, this simulation demonstrates how simple agents can solve complex optimization problems. Virtual ants explore paths between food sources and their nest, leaving pheromone trails. Shorter paths accumulate more pheromone as ants complete trips faster, attracting more ants. Over time, the colony converges on near-optimal solutions. Apply this to classic problems like the Traveling Salesman Problem (TSP) or maze solving.",swarm,"ant-colony|optimization|swarm-intelligence|tsp|pathfinding",sims/ant-colony.html,video,assets/videos/previews/ant-colony-preview.mp4,assets/images/previews/ant-colony-preview.png,intermediate,8-12 minutes,"Multiple problem types (TSP, maze)|Pheromone visualization|Best path highlighting|Convergence graphs",active
sim007,Wave Interference Patterns,Visualize constructive and destructive interference in water waves.,"Explore the fundamental principles of wave superposition through interactive water wave simulations. Drop multiple wave sources and watch as waves interact, creating beautiful interference patterns. See how constructive interference amplifies waves while destructive interference cancels them out. Adjust frequency, amplitude, and phase to understand how these parameters affect the resulting patterns. Perfect for understanding concepts in physics, acoustics, and optics.",physics,"waves|interference|superposition|physics|optics",sims/wave-interference.html,video,assets/videos/previews/wave-interference-preview.mp4,assets/images/previews/wave-interference-preview.png,beginner,4-6 minutes,"Multiple wave sources|Frequency and amplitude control|Slow motion playback|Pattern freeze frame",active
sim008,Genetic Algorithm Evolution,Watch solutions evolve through natural selection and genetic operators.,"This simulation demonstrates how genetic algorithms use principles of natural selection to solve optimization problems. A population of candidate solutions evolves over generations through selection, crossover, and mutation. Watch as the algorithm discovers increasingly better solutions, mimicking biological evolution. Apply it to problems like function optimization, scheduling, or even evolving simple creatures. Adjust mutation rates, population size, and selection pressure to see their effects.",mathematics,"genetic-algorithm|evolution|optimization|ai|machine-learning",sims/genetic-algorithm.html,video,assets/videos/previews/genetic-algorithm-preview.mp4,assets/images/previews/genetic-algorithm-preview.png,intermediate,7-12 minutes,"Multiple problem types|Fitness landscape visualization|Generation statistics|Population diversity tracking",active
sim009,Reaction-Diffusion Patterns,Generate stunning patterns found in nature using chemical reaction models.,"Explore the Gray-Scott reaction-diffusion model that creates patterns similar to those found in animal coats, coral growth, and chemical reactions. Two virtual chemicals react and diffuse across a 2D space, creating spots, stripes, spirals, and other complex patterns. Adjust feed and kill rates to explore different pattern regimes. This simulation demonstrates how simple local rules can generate complex global patterns, a key concept in pattern formation and morphogenesis.",chemistry,"reaction-diffusion|pattern-formation|turing-patterns|chemistry|complexity",sims/reaction-diffusion.html,image,assets/images/previews/reaction-diffusion-preview.png,,intermediate,6-10 minutes,"Multiple pattern presets|Custom parameter control|High-resolution export|Color scheme customization",active
sim010,N-Body Gravitational System,Simulate planetary motion and gravitational interactions between celestial bodies.,"Experience Newton's law of universal gravitation in action as multiple bodies orbit and interact under mutual gravitational attraction. Start with stable orbital configurations or create chaotic systems. Watch as planets, moons, and asteroids follow elliptical orbits, experience gravitational slingshots, or even collide. The simulation uses numerical integration to accurately model gravitational forces and trajectories. Add or remove bodies, adjust masses and velocities, and observe the resulting dynamics.",physics,"gravity|orbital-mechanics|n-body|astrophysics|celestial-mechanics",sims/n-body-gravity.html,video,assets/videos/previews/n-body-preview.mp4,assets/images/previews/n-body-preview.png,intermediate,8-15 minutes,"Preset solar systems|Custom body creation|Trajectory tracing|Collision detection",active
