symbol,name,atomicNumber,mass,electronegativity,valenceElectrons,electronAffinity,bondType,tendency,maxBonds,preferredCharge,color_r,color_g,color_b
H,Hydrogen,1,1.008,2.20,1,72.8,Covalent,Non-metal,1,0,255,255,255
C,Carbon,6,12.011,2.55,4,122.3,Covalent,Non-metal,4,0,144,144,144
N,Nitrogen,7,14.007,3.04,5,-7,Covalent,Non-metal,3,0,48,80,248
O,Oxygen,8,15.999,3.44,6,141,Covalent,Non-metal,2,0,255,13,13
F,Fluorine,9,18.998,3.98,7,328,Covalent,Non-metal,1,0,144,224,80
Na,Sodium,11,22.990,0.93,1,52.8,Ionic,Metal,1,1,171,92,242
Mg,Magnesium,12,24.305,1.31,2,0,Ionic,Metal,2,2,138,255,0
Al,Aluminum,13,26.982,1.61,3,42.5,Ionic/Covalent,Metal,3,3,191,166,166
Si,Silicon,14,28.086,1.90,4,134,Covalent,Metalloid,4,0,240,200,160
P,Phosphorus,15,30.974,2.19,5,72,Covalent,Non-metal,3,0,255,128,0
S,Sulfur,16,32.065,2.58,6,200,Covalent,Non-metal,2,0,255,255,48
Cl,Chlorine,17,35.453,3.16,7,349,Covalent/Ionic,Non-metal,1,-1,31,240,31
K,Potassium,19,39.098,0.82,1,48.4,Ionic,Metal,1,1,143,64,212
Ca,Calcium,20,40.078,1.00,2,2.4,Ionic,Metal,2,2,61,255,0
Fe,Iron,26,55.845,1.83,2,15,Ionic,Metal,2,2,224,102,51
Cu,Copper,29,63.546,1.90,1,118.4,Ionic/Metallic,Metal,2,1,184,115,51
Zn,Zinc,30,65.380,1.65,2,0,Ionic,Metal,2,2,125,128,176
Ag,Silver,47,107.868,1.93,1,125.6,Metallic,Metal,1,1,192,192,192
Au,Gold,79,196.967,2.54,1,222.8,Metallic,Metal,1,1,255,215,0
